retailer,retailer_label,channel,external_id,name,brand,packaging,packaging_label,volume_l,pack_count,is_pack,price,currency,price_basis,pfand,price_incl_pfand,price_per_litre,price_per_litre_incl_pfand,bottle_equivalent_price,unit_price,list_price,on_promotion,in_stock,product_type,colour,sweetness,abv,vintage,country,region,grape_varieties,category_path,packaging_evidence,url,image_url,scraped_at
combi,Combi,supermarkt,/grand_sud_merlot_4504071763.html,Grand Sud Merlot,,bag_in_box,Bag-in-Box,3.0,1,False,15.49,EUR,gross,0.0,15.49,5.16,5.16,3.87,5.16,,False,,still,rot,,,,,,Merlot,wein,,https://www.combi.de/grand_sud_merlot_4504071763.html,,2026-08-14T15:24:46.732777+00:00
combi,Combi,supermarkt,/chenin_blanc_wine_box_weisswein_trocken_4504072690.html,Chenin Blanc Wine Box Weißwein trocken,,bag_in_box,Bag-in-Box,3.0,1,False,11.59,EUR,gross,0.0,11.59,3.86,3.86,2.9,3.86,,False,,still,weiss,trocken,,,,,Chenin Blanc,wein,,https://www.combi.de/chenin_blanc_wine_box_weisswein_trocken_4504072690.html,,2026-08-14T15:24:47.007291+00:00
combi,Combi,supermarkt,/terra_molino_airen_und_sauvignon_blanc_vino_blanc_weisswein_trocken_4504073814.html,Terra Molino Airen & Sauvignon Blanc Vino Blanc Weißwein trocken,,bag_in_box,Bag-in-Box,3.0,1,False,5.79,EUR,gross,0.0,5.79,1.93,1.93,1.45,1.93,,False,,still,weiss,trocken,,,,,"Airén, Sauvignon Blanc",wein,,https://www.combi.de/terra_molino_airen_und_sauvignon_blanc_vino_blanc_weisswein_trocken_4504073814.html,,2026-08-14T15:24:47.056009+00:00
combi,Combi,supermarkt,/weiss_und_suess_bib_weisswein_suess_4504073831.html,Weiß & Süß BIB Weißwein süß,,bag_in_box,Bag-in-Box,3.0,1,False,10.39,EUR,gross,0.0,10.39,3.46,3.46,2.6,3.46,,False,,still,weiss,suess,,,,,,wein,bib,https://www.combi.de/weiss_und_suess_bib_weisswein_suess_4504073831.html,,2026-08-14T15:24:47.264647+00:00
globus,Globus,supermarkt,https://produkte.globus.de/getraenke/wein/rotwein/3256817012607/vaucluse-rouge-bib-rotwein,"Vaucluse rouge BIB, Rotwein",,bag_in_box,Bag-in-Box,3.0,1,False,10.99,EUR,gross,0.0,10.99,3.66,3.66,2.75,3.66,,False,,still,rot,,,,,,,getraenke/wein,bib,https://produkte.globus.de/getraenke/wein/rotwein/3256817012607/vaucluse-rouge-bib-rotwein,,2026-08-14T15:24:48.205364+00:00
globus,Globus,supermarkt,https://produkte.globus.de/getraenke/wein/rotwein/8032841821430/veneto-igt-corvina-3l-bib-rotwein,"Veneto IGT Corvina 3L BIB, Rotwein",,bag_in_box,Bag-in-Box,3.0,1,False,5.0,EUR,gross,0.0,5.0,1.67,1.67,1.25,1.67,,False,,still,rot,,,,Italien,Veneto,Corvina,getraenke/wein,bib,https://produkte.globus.de/getraenke/wein/rotwein/8032841821430/veneto-igt-corvina-3l-bib-rotwein,,2026-08-14T15:24:48.325488+00:00
globus,Globus,supermarkt,https://produkte.globus.de/getraenke/wein/rotwein/8410702000789/bib-tinto-vino-de-la-tierra-de-castilla,BIB Tinto Vino de la Tierra de Castilla,,bag_in_box,Bag-in-Box,3.0,1,False,4.99,EUR,gross,0.0,4.99,1.66,1.66,1.25,1.66,,False,,still,rot,,,,,,,getraenke/wein,bib,https://produkte.globus.de/getraenke/wein/rotwein/8410702000789/bib-tinto-vino-de-la-tierra-de-castilla,,2026-08-14T15:24:48.861174+00:00
globus,Globus,supermarkt,https://produkte.globus.de/getraenke/wein/rotwein/3500610032738/merlot-vin-de-pays-d-oc-rotwein,"Merlot Vin de Pays d'Oc, Rotwein",,bag_in_box,Bag-in-Box,3.0,1,False,9.49,EUR,gross,0.0,9.49,3.16,3.16,2.37,3.16,12.99,True,,still,rot,,,,,,Merlot,getraenke/wein,,https://produkte.globus.de/getraenke/wein/rotwein/3500610032738/merlot-vin-de-pays-d-oc-rotwein,,2026-08-14T15:24:49.299281+00:00
globus,Globus,supermarkt,https://produkte.globus.de/getraenke/wein/rotwein/4006542014815/cabernet-sauvignon-santa-barbera-rotwein,"Cabernet Sauvignon Santa Barbera, Rotwein",,bag_in_box,Bag-in-Box,3.0,1,False,9.99,EUR,gross,0.0,9.99,3.33,3.33,2.5,3.33,,False,,still,rot,,,,,,"Cabernet Sauvignon, Barbera",getraenke/wein,,https://produkte.globus.de/getraenke/wein/rotwein/4006542014815/cabernet-sauvignon-santa-barbera-rotwein,,2026-08-14T15:24:49.378917+00:00
globus,Globus,supermarkt,https://produkte.globus.de/getraenke/wein/rotwein/4006542003413/ruby-cabernet-cinsault-trocken,"Ruby Cabernet Cinsault, trocken",,bag_in_box,Bag-in-Box,3.0,1,False,6.99,EUR,gross,0.0,6.99,2.33,2.33,1.75,2.33,,False,,still,,trocken,,,,,,getraenke/wein,,https://produkte.globus.de/getraenke/wein/rotwein/4006542003413/ruby-cabernet-cinsault-trocken,,2026-08-14T15:24:49.916351+00:00
